date;code_insee_region;region;tmin;tmax;tmoy
28/03/2016;93;Provence-Alpes-CÃ´te d'Azur;5.08;15.45;10.27
30/03/2016;32;Hauts-de-France;6.86;11.16;9.01
30/03/2016;52;Pays de la Loire;7.6;9.15;8.38
30/03/2016;94;Corse;7.9;19.6;13.75
30/03/2016;11;ÃŽle-de-France;7.2;9.86;8.53
31/03/2016;52;Pays de la Loire;5.45;10.95;8.2
31/03/2016;32;Hauts-de-France;5.9;9.42;7.66
01/04/2016;44;Grand Est;4.29;8.07;6.18
01/04/2016;11;ÃŽle-de-France;3.6;12.0;7.8
01/04/2016;76;Occitanie;6.11;10.94;8.52
02/04/2016;84;Auvergne-RhÃ´ne-Alpes;5.27;15.56;10.42
02/04/2016;11;ÃŽle-de-France;1.98;10.88;6.43
02/04/2016;53;Bretagne;3.78;13.52;8.65
02/04/2016;94;Corse;12.95;21.35;17.15
02/04/2016;32;Hauts-de-France;2.66;11.3;6.98
03/04/2016;94;Corse;10.25;20.7;15.48
03/04/2016;24;Centre-Val de Loire;7.0;21.07;14.03
03/04/2016;52;Pays de la Loire;4.15;18.55;11.35
03/04/2016;84;Auvergne-RhÃ´ne-Alpes;11.21;17.09;14.15
04/04/2016;75;Nouvelle-Aquitaine;6.97;16.74;11.86
04/04/2016;24;Centre-Val de Loire;8.37;16.85;12.61
04/04/2016;28;Normandie;6.9;14.86;10.88
05/04/2016;94;Corse;12.0;21.7;16.85
05/04/2016;93;Provence-Alpes-CÃ´te d'Azur;12.3;17.47;14.88
05/04/2016;27;Bourgogne-Franche-ComtÃ©;9.47;13.88;11.68
05/04/2016;76;Occitanie;10.01;13.15;11.58
06/04/2016;11;ÃŽle-de-France;6.42;14.58;10.5
07/04/2016;32;Hauts-de-France;4.5;10.82;7.66
07/04/2016;75;Nouvelle-Aquitaine;6.78;12.5;9.64
08/04/2016;84;Auvergne-RhÃ´ne-Alpes;4.17;10.73;7.45
08/04/2016;11;ÃŽle-de-France;5.9;13.75;9.82
08/04/2016;28;Normandie;4.9;11.95;8.43
09/04/2016;52;Pays de la Loire;6.4;12.1;9.25
09/04/2016;84;Auvergne-RhÃ´ne-Alpes;4.92;13.12;9.02
09/04/2016;11;ÃŽle-de-France;3.6;13.8;8.7
10/04/2016;75;Nouvelle-Aquitaine;4.92;21.94;13.43
10/04/2016;84;Auvergne-RhÃ´ne-Alpes;2.25;19.97;11.11
11/04/2016;76;Occitanie;9.65;19.25;14.45
11/04/2016;32;Hauts-de-France;8.72;15.02;11.87
12/04/2016;11;ÃŽle-de-France;4.12;16.46;10.29
12/04/2016;93;Provence-Alpes-CÃ´te d'Azur;8.17;20.0;14.08
12/04/2016;44;Grand Est;5.34;17.96;11.65
13/04/2016;94;Corse;10.75;20.8;15.78
13/04/2016;53;Bretagne;4.3;15.75;10.02
14/04/2016;28;Normandie;4.96;14.4;9.68
14/04/2016;52;Pays de la Loire;4.7;14.7;9.7
15/04/2016;84;Auvergne-RhÃ´ne-Alpes;9.46;19.26;14.36
15/04/2016;28;Normandie;7.64;15.52;11.58
15/04/2016;53;Bretagne;9.23;14.35;11.79
16/04/2016;44;Grand Est;8.9;14.53;11.71
16/04/2016;32;Hauts-de-France;7.16;11.7;9.43
17/04/2016;44;Grand Est;5.69;10.09;7.89
18/04/2016;28;Normandie;-0.74;13.06;6.16
19/04/2016;44;Grand Est;0.29;15.34;7.81
19/04/2016;28;Normandie;1.58;14.62;8.1
19/04/2016;32;Hauts-de-France;4.44;14.34;9.39
20/04/2016;93;Provence-Alpes-CÃ´te d'Azur;8.35;22.8;15.57
20/04/2016;84;Auvergne-RhÃ´ne-Alpes;3.81;21.37;12.59
20/04/2016;11;ÃŽle-de-France;5.9;19.0;12.45
20/04/2016;75;Nouvelle-Aquitaine;10.28;20.48;15.38
21/04/2016;84;Auvergne-RhÃ´ne-Alpes;9.13;19.69;14.41
21/04/2016;52;Pays de la Loire;11.6;20.7;16.15
21/04/2016;32;Hauts-de-France;6.84;18.64;12.74
21/04/2016;93;Provence-Alpes-CÃ´te d'Azur;11.13;19.52;15.32
22/04/2016;32;Hauts-de-France;8.38;14.52;11.45
23/04/2016;27;Bourgogne-Franche-ComtÃ©;7.52;12.33;9.92
23/04/2016;52;Pays de la Loire;9.25;12.3;10.78
24/04/2016;94;Corse;12.55;19.6;16.08
24/04/2016;76;Occitanie;8.05;13.62;10.83
25/04/2016;84;Auvergne-RhÃ´ne-Alpes;2.45;11.71;7.08
25/04/2016;53;Bretagne;1.35;11.92;6.64
25/04/2016;75;Nouvelle-Aquitaine;3.04;14.68;8.86
25/04/2016;32;Hauts-de-France;3.06;9.84;6.45
25/04/2016;27;Bourgogne-Franche-ComtÃ©;0.9;9.27;5.08
25/04/2016;94;Corse;7.85;18.2;13.03
25/04/2016;24;Centre-Val de Loire;-0.12;11.85;5.87
26/04/2016;93;Provence-Alpes-CÃ´te d'Azur;4.2;17.57;10.88
26/04/2016;52;Pays de la Loire;5.45;12.15;8.8
26/04/2016;44;Grand Est;1.87;8.14;5.01
27/04/2016;52;Pays de la Loire;-1.2;12.7;5.75
28/04/2016;27;Bourgogne-Franche-ComtÃ©;0.67;12.75;6.71
28/04/2016;76;Occitanie;6.64;15.95;11.3
29/04/2016;75;Nouvelle-Aquitaine;2.62;16.03;9.33
29/04/2016;76;Occitanie;5.0;17.93;11.46
30/04/2016;93;Provence-Alpes-CÃ´te d'Azur;6.93;16.98;11.96
30/04/2016;53;Bretagne;3.87;12.95;8.41
30/04/2016;32;Hauts-de-France;4.96;11.42;8.19
30/04/2016;76;Occitanie;6.45;13.37;9.91
30/04/2016;84;Auvergne-RhÃ´ne-Alpes;2.54;12.41;7.47
01/05/2016;94;Corse;8.2;17.4;12.8
01/05/2016;24;Centre-Val de Loire;0.6;15.43;8.02
01/05/2016;27;Bourgogne-Franche-ComtÃ©;4.12;10.45;7.28
02/05/2016;94;Corse;8.6;19.05;13.82
02/05/2016;44;Grand Est;3.43;18.69;11.06
02/05/2016;76;Occitanie;5.79;19.3;12.55
02/05/2016;32;Hauts-de-France;2.02;15.62;8.82
03/05/2016;75;Nouvelle-Aquitaine;7.01;17.82;12.42
03/05/2016;11;ÃŽle-de-France;7.8;16.48;12.14
03/05/2016;32;Hauts-de-France;6.02;14.2;10.11
04/05/2016;75;Nouvelle-Aquitaine;5.33;22.51;13.92
04/05/2016;44;Grand Est;1.4;16.6;9.0
04/05/2016;84;Auvergne-RhÃ´ne-Alpes;2.64;18.73;10.68
04/05/2016;28;Normandie;1.68;17.68;9.68
05/05/2016;94;Corse;9.1;21.8;15.45
06/05/2016;84;Auvergne-RhÃ´ne-Alpes;9.35;21.98;15.67
06/05/2016;11;ÃŽle-de-France;8.2;24.78;16.49
07/05/2016;84;Auvergne-RhÃ´ne-Alpes;9.9;22.48;16.19
07/05/2016;93;Provence-Alpes-CÃ´te d'Azur;10.73;22.68;16.71
07/05/2016;94;Corse;7.9;23.15;15.53
08/05/2016;32;Hauts-de-France;12.06;25.5;18.78
08/05/2016;53;Bretagne;12.25;21.05;16.65
09/05/2016;52;Pays de la Loire;14.4;18.85;16.62
10/05/2016;32;Hauts-de-France;14.38;19.94;17.16
10/05/2016;44;Grand Est;13.87;20.73;17.3
10/05/2016;93;Provence-Alpes-CÃ´te d'Azur;14.28;22.98;18.63
11/05/2016;94;Corse;16.5;21.35;18.92
11/05/2016;93;Provence-Alpes-CÃ´te d'Azur;13.58;18.1;15.84
11/05/2016;84;Auvergne-RhÃ´ne-Alpes;12.04;16.78;14.41
12/05/2016;75;Nouvelle-Aquitaine;8.44;17.18;12.81
13/05/2016;52;Pays de la Loire;13.0;18.25;15.62
14/05/2016;76;Occitanie;12.43;19.78;16.1
14/05/2016;32;Hauts-de-France;8.48;12.46;10.47
14/05/2016;28;Normandie;8.7;11.88;10.29
15/05/2016;32;Hauts-de-France;3.46;13.7;8.58
15/05/2016;75;Nouvelle-Aquitaine;9.67;18.04;13.86
15/05/2016;28;Normandie;2.58;15.8;9.19
16/05/2016;28;Normandie;5.22;16.28;10.75
